Name,Address,PhoneNumber,BreweryType,Website
Artisanal Brewers Collective,"8990 Claybeck AveSun Valley, CA 91352-2705",(760) 845-7858,Proprietor,http://www.abcpubs.com
Arts District Brewing Company,"828 Traction AveLos Angeles, CA 90013-1816",(213) 519-5887,Brewpub,
Arundel Cellars & Brewing Co,"11727 E Main RdNorth East, PA 16428-3635",(814) 725-1079,Brewpub,http://www.arundelcellars.com
Arvon Brewing Co.,"3057 Broadway Ave SWGrandville, MI 49418-1528",(616) 224-0086,Micro,http://www.arvonbrewingco.com
Asbury Park Brewery,"810 Sewall AveAsbury Park, NJ 07712-6527",(732) 455-5571,Micro,http://www.asburyparkbrewery.com
Ascendant Beer Company,"412 NW 5th AvePortland, OR 97209-3893",(503) 564-2739,Micro,http://www.ascendantbeer.com
Ascension Brewing Company,"42000 Grand River AveNovi, MI 48375-1831",(248) 308-2093,Brewpub,http://www.ascension.beer
Asgard Brewing Company,"104 E 5th StColumbia, TN 38401-3351",(615) 828-2218,Micro,http://www.asgardbrewery.com
Ashby Brewing Company,"109 Main StAshby, MN 56309-4687",(888) 635-0291,Micro,http://www.abcbrewing.net
Asher Brewing Co,"4699 Nautilus Ct SBoulder, CO 80301-5306",(303) 530-1381,Taproom,http://asherbrewing.com
Asheville Brewing Co,"77 Coxe AveAsheville, NC 28801-3621",(828) 255-4077,Brewpub,http://www.ashevillepizza.com
Ashton Brewing Company,"600 Lincoln BlvdMiddlesex, NJ 08846",732-694-1221,Taproom,http://ashtonbrewing.com
Ashtown Brewing Co,"1175 Hudson StLongview, WA 98632-3158",(360) 353-5286,Taproom,http://www.ashtownbrewing.com
Ashuelot Brewing Company,"101 Old County RdRichmond, NH 03470-4918",,Taproom,
Asian Brothers Brewing Company,"4800 Florin RdSacramento, CA 95823",(650) 533-5221,Brewpub,http://www.asianbrothersbrewery.com
Aslan Brewing Co.,"1330 N Forest StBellingham, WA 98225-4702",(360) 393-4106,Micro,http://aslanbrewing.com
Aslin Beer Company,"847 S. Pickett StAlexandria, VA 22304",(202) 578-7400,Taproom,http://www.aslinbeer.com
Aslin Beer Company - Alexandria,"847 S Pickett StAlexandria, VA 22304",(703) 787-5766,Taproom,
Aspen Brewing Company,"404 Aspen Airport Business CtrAspen, CO 81611-3530",(970) 920-2739,Micro,http://www.aspenbrewingcompany.com
Aspetuck Brew Lab,"3389 Fairfield AvenueBridgeport, CT 06605",(203) 253-9423,Taproom,http://www.aspetuckbrewlab.com
Ass Clown Brewing Co,"10620 Bailey Rd Ste ECornelius, NC 28031-9364",(704) 997-8490,Micro,http://www.assclownbrewery.com
Assembly Brewing,"6112 SE Foster RdPortland, OR 97206-3739",(503) 729-9080,Brewpub,http://www.assemblybrewingco.com
Astoria Brewing Company,"1196 Marine DrAstoria, OR 97103-4112",(503) 741-3040,Brewpub,
Astral Brewing,"4816 N Shepherd Ste AHouston, TX 77018",(713) 534-1067,Taproom,http://www.astralbrewing.com
Astro Lab Brewing,"8216 Georgia AveSilver Spring, MD 20910-4519",(301) 273-9684,Taproom,http://www.astrolabbrewing.com
Astronomy Aleworks,"7350 Eastgate Rd Ste 170Henderson, NV 89011",(702) 375-4968,Taproom,http://astronomyaleworks.com
Asylum Brewing,"2970 E. La Palma Ave.Anaheim, CA 92806",(949) 449-5191,Taproom,http://Www.asylumbrewing.beer
At Ease Brewing,"1825 I StSacramento, CA 95811-3003",(916) 736-2267,Taproom,http://www.ateasebrewing.com
At Large Brewing,"2730 W Marine View DrEverett, WA 98201-3421",(425) 324-0039,Brewpub,http://www.atlargebrewing.com
Atco Brewing LLC,"302 White Horse PikeAtco, NJ 08004-2209",(609) 707-2628,Micro,http://Www.atcobrewingcompany.com
Athens Brewing Co,"101 E Tyler StAthens, TX 75751-2547",(903) 952-7493,Brewpub,http://www.athensbrewingco.com
Athentic Brewing Company,"108 Park AveAthens, GA 30601",(706) 206-2074,Taproom,http://www.athenticbrewing.com
Athletic Brewing Company,"350 Long Beach Blvd Stratford, CT 06615-7167",(203) 273-0422,Micro,http://www.AthleticBrewing.com
Atlanta Brewing,"2323 Defoor Hills Rd NWAtlanta, GA 30318-2207",(404) 355-5558,Micro,http://www.atlantabrewing.com
Atlantic Brewing Co / Bar Harbor Brewing,"52 Cottage Street Bar HarborBar Harbor, ME 04609",(207) 288-4592,Brewpub,http://www.barharborbrewing.com
Atlantic Brewing Company,"15 Knox RdBar Harbor, ME 04609-7770",(207) 288-2337,Micro,http://atlanticbrewing.com
Atlas Brew Works,"2052 W Virginia Ave NE Ste 102Washington, DC 20002-1832",(202) 832-0420,Micro,http://www.atlasbrewworks.com
Atlas Saloon Brewery,"100 W Broadway StExcelsior Springs, MO 64024",(816) 630-9229,Taproom,
Atom Brewing Company,"654 Moffat StErie, CO 80516",(863) 412-0917,Micro,http://www.atombrewingcompany.com
Atomic Ale Brewpub and Eatery,"1015 Lee BlvdRichland, WA 99352-4226",(509) 946-5465,Brewpub,http://www.atomicalebrewpub.com
Atrevida Beer Company,"204 Mount View Ln Unit 3Colorado Springs, CO 80908",(719) 266-4200,Taproom,http://www.atrevidabeerco.com
Attaboy Barrel House,"24 S Wisner StFrederick, MD 21701-6083",(415) 710-6459,Taproom,
Attaboy Beer,"400 Sagner Ave Ste 400Frederick, MD 21701-6083",(415) 710-6459,Taproom,
Attic Brewing,"137 W Berkley StPhiladelphia, PA 19144-3603",(708) 204-7376,Taproom,
Attitude Brewing Company,"1985 National Ave Ste 1115San Diego, CA 92113",(619) 795-4257,Brewpub,http://www.attitudebrewing.com
Atwater Brewing Co,"237 Joseph Campau StDetroit, MI 48207-4107",(313) 877-9205,Regional,http://www.atwaterbeer.com
Atwater Grand Rapids,"201 Michigan St NWGrand Rapids, MI 49503-2323",(616) 649-3020,Brewpub,
Atwater In the Park Biergarten and Tap House,"1175 Lakepointe StGrosse Pointe Park, MI 48230-1319",(313) 344-5104,Brewpub,http://www.atwaterbeer.com
Atwood Ales,"4012 Sweet RdBlaine, WA 98230-9108",360-399-6239,Micro,http://www.atwoodales.com
Atypical Brewery & Barrelworks,"510 Central Ave EastMinot, ND 58701",(701) 720-5812,Taproom,
Auburn Alehouse,"289 Washington StAuburn, CA 95603-5036",(530) 885-2537,Brewpub,http://www.auburnalehouse.com
Audacious Aleworks,"110 E Fairfax StFalls Church, VA 22046",,Taproom,
August Schell Brewing Company,"Schells Park/1860 Schell RdNew Ulm, MN 56073",(507) 354-5528,Regional,http://www.schellsbrewery.com
Augusta Brewing Co,"109 W Main StWashington, MO 63090-2191",(636) 239-5010,Brewpub,http://www.augustabrewing.com
Augustino Brewing,"756 N Tyler RdWichita, KS 67212",(316) 721-5554,Brewpub,http://www.augustinobrew.com
Aurellias Bottle Shop and Brewhouse,"1620 N Resler dr ste CEl Paso, TX 79911",(915) 433-1765,Brewpub,http://www.Aurellias.com
Aurochs Brewing Company,"8321 Ohio River BlvdPittsburgh, PA 15202-1451",(724) 260-8737,Micro,http://www.aurochsbrewing.com
Aurora Ale & Lager,"1891 State Route 90 NKing Ferry, NY 13081-9719",,Taproom,http://www.brewaurora.com
Ausable Brewing Co,"765 Mace Chasm RdKeeseville, NY 12944-2425",(315) 244-3295,Taproom,http://www.ausablebrewing.com
Austin Beerworks,"3001 Industrial TerAustin, TX 78758-7609",(512) 821-2494,Regional,http://www.austinbeerworks.com
Austin Brothers' Beer Company,"821 W Miller StAlpena, MI 49707-1825",(989) 340-2300,Brewpub,http://www.austinbrosbeerco.com
Austin Street Brewery,"115 Fox StPortland, ME 04101",,Taproom,
Austin Street Brewery,"1 Industrial Way Ste 8Portland, ME 04103-1072",(207) 200-1994,Taproom,http://www.austinstreetbrewery.com
Automatic Brewing Co. / Blind Lady Alehouse,"3416 Adams AveSan Diego, CA 92116-2428",(619) 200-7522,Brewpub,http://www.blindlady.blogspot.com
Autumn Arch Beer Project,"810 Pencader DrNewark, DE 19702",(303) 294-1126,Taproom,http://www.autumnarch.com
Avalanche Brewing Co,"1067 Blair StSilverton, CO 81433-0377",(970) 387-5282,Brewpub,http://www.avalanchebrewing.com
Avalon Brew Pub,"125 79th StAvalon, NJ 08202",(609) 967-2116,Brewpub,http://www.avalonbrewpub.com
Avant Garde Aleworks,"920 Dunraven StEstes Park, CO 80517",(832) 969-3118,Taproom,
Aviator Brewing Company,"209 Technology Park LnFuquay Varina, NC 27526-9311",(919) 567-2337,Regional,http://www.aviatorbrew.com
Avid Brew Co,"1745 1st Ave SSaint Petersburg, FL 33712",(727) 388-6756,Taproom,http://www.avidbrew.com
Avon Brewing Company,"37040 Detriot RoadAvon, OH 44011",(440) 937-1816,Brewpub,http://avonbrewingcompany.com
Avondale Brewing Co,"201 41st St SBirmingham, AL 35222-1932",(205) 777-5456,Micro,http://www.avondalebrewing.com
Away Days Brewing,"1516 se 10th aveportland, OR 97214",(503) 504-3090,Micro,http://www.awaydaysbrewing.com
Axe And Arrow Brewery,"105 W High St.Glassboro, NJ 08028",(303) 717-5215,Taproom,http://axeandarrowbrewing.com
Aztec Brewing Company,"2330 La Mirada Dr Ste 300Vista, CA 92081-7871",760-598-7720,Taproom,http://www.aztecbrewery.com
B Chord Brewing Company,"34266 Williams Gap RdRound Hill, VA 20141-2100",(703) 623-4542,Taproom,http://www.bchordbrewing.com
B and J's Handcrafted Texas Ales,"6662 South StaplesCorpus Christi, TX 78413",(361) 992-6671,Brewpub,http://pizzaandbrew@aol.com
B-52 Brewing,"12470 Milroy LnConroe, TX 77304-5160",(936) 447-4677,Micro,http://www.b52brewing.com
B. Nektar Meadery,"1511 Jarvis StFerndale, MI 48220-2025",(313) 744-6323,Micro,http://www.bnektar.com
B.C. Brewery,"10950 Gilroy Rd Ste FHunt Valley, MD 21031-1327",(443) 391-3847,Taproom,http://www.bcbrewerymd.com
B.O.B's Brewery,"20 Monroe Ave NWGrand Rapids, MI 49503-6208",(616) 356-2000,Brewpub,http://thebobsbrewery.thebob.com
B2 Taphouse & Brewery,"1170 Boone Rd SESalem, OR 97306",(503) 991-5369,Brewpub,http://https://www.b2taphouse.com/
BAD Brewing Co,"440 S Jefferson StMason, MI 48854-1654",(517) 676-7664,Taproom,http://www.badbrewing.com
BAD SONS Beer Co,"251 Roosevelt DrDerby, CT 06418-1665",(203) 308-2654,Micro,http://www.badsoons.com
BAKFISH Brewing Company,"1231 Broadway StPearland, TX 77581-6303",(281) 993-8658,Taproom,http://www.bakfishbrewing.com
BBGB Brewery And Hop Farm,"2000 Orchard RdNorth Aurora, IL 60542-1674",(630) 299-3977,Brewpub,http://http://www.eathardware.com/
BDD Brewing Company,"1147 Falls Rd Ste 107Rocky Mount, NC 27804",(919) 632-7551,Taproom,
BDSM Brewing Company,"2256 SE Oak Crest DrHillsboro, OR 97123",(503) 453-0181,Taproom,http://www.bdsmbrewing.com
BJ's Brewhouse,"602 E Central AveTemple, TX 76501-4319",(714) 500-2400,Regional,
BJs Restaurant & Brewery - Boulder,"1690 28th StBoulder, CO 80301-",(303) 440-5200,Brewpub,http://www.bjsrestaurants.com
BJs Restaurant & Brewery - Brea,"600 Brea Mall DrBrea, CA 92821-5764",(714) 990-2095,Brewpub,http://www.bjsrestaurants.com
BJs Restaurant & Brewery - Chandler,"3155 W Chandler BlvdChandler, AZ 85226-5175",(480) 917-0631,Brewpub,http://www.bjsrestaurants.com
BJs Restaurant & Brewery - Reno,"13999 S Virginia StReno, NV 89511-8917",(775) 853-7575,Brewpub,http://www.bjsbrewhouse.com
BJs Restaurant & Brewery - West Covina,"2917 E Eastland Ctr DrWest Covina, CA 91791-1603",(626) 858-0054,Brewpub,http://www.bjsrestaurants.com
BKS Artisan Ales,"633 E 63rd StKansas City, MO 64110",(816) 673-3027,Taproom,http://www.bksartisanales.com
BNS Brewing & Distilling Co.,"10960 Wheatlands Ave Ste 101Santee, CA 92071-5617",(619) 956-0952,Taproom,http://www.bnsbrewinganddistilling.com
BRU Handbuilt Ales and Eats,"5290 Arapahoe AveBoulder, CO 80303-1269",(720) 638-5193,Brewpub,http://www.bruboulder.com
BS Brew Works Inc.,"1010 S Main StSpringfield, TN 37172",(615) 932-2422,Brewpub,http://www.bsbrewers.com
BS Brewing,"1408 Old Lehmann RdSeguin, TX 78155-5048",(830) 660-8124,Taproom,http://www.bsbrewingtx.com
Baa Baa Brewhouse,"539 FM 359 Rd SBrookshire, TX 77423-8013",(281) 934-1847,Micro,http://www.baabaabrewhouse.com
Babe's Bar-B-Que and Brewhouse,"71800 Highway 111 Ste A176Rancho Mirage, CA 92270-4495",(760) 346-8738,Brewpub,
Back Barn Brewing Company,"7082 Western Turnpike Delanson, NY 12053",(518) 709-8423,Taproom,http://www.backbarnbrewing.com
Back Bay Brewing Company,"614 Norfolk AveVirginia Beach, VA 23451-4419",(757) 531-7750,Micro,http://www.backbaybrewingco.com
Back Bay's Farmhouse Brewing Co,"1805 Kempsville RdVirginia Beach, VA 23464",(757) 512-6430,Micro,http://www.farmhousebrewingva.com
Back Channel Brewing,"4787 Shoreline DrSpring Park, MN 55384-9713",,Taproom,http://www.backchannelbrewing@gmail.com
Back East Brewing,"1296 Blue Hills Ave Ste ABloomfield, CT 06002-5312",(860) 242-1793,Micro,http://www.backeastbrewing.com
Back Forty Beer Co,"200 N 6th StGadsden, AL 35901-3361",(256) 467-4912,Micro,http://www.backfortybeer.com
Back Forty Beer Company - Birmingham,"3201 1st Avenue NBirmingham, AL 35222",(256) 585-4531,Micro,
Back Home Brewing Company,"1502 S 3rd StOzark, MO 65721",(417) 581-0782,Brewpub,
Back Pedal Brewing Company,"1425 NW Flanders StPortland, OR 97209-2620",(971) 400-5950,Taproom,http://backpedalbrewing.com
Back Pew Brewing,"26452 Sorters RdPorter, TX 77365-4752",(281) 608-7526,Micro,http://www.backpewbrewing.com
Back Road Brewery,"308 Perry StLa Porte, IN 46350-3216",(219) 362-7623,Taproom,http://www.backroadbrewery.com
Back Street Brewery & Tasting Room,"1884 S Santa Cruz StAnaheim, CA 92805-6726",(657) 236-4050,Micro,http://www.backstreetbrew.com
Back Unturned Brewing Co.,"516 Brooklyn AveSan Antonio, TX 78215",(210) 257-0022,Brewpub,http://https://www.facebook.com/backunturned/
BackRoad Brewery,"140 N. First St.Carlisle, IA 50047",(515) 210-2096,Micro,http://www.backroadbeer.com
BackStory Brewery,"211 Magnolia StSulphur Springs, TX 75482-2772",(903) 438-2337,Taproom,http://www.backstorybrewery.com
Backacre Beermakers,"124 Parker LnWeston, VT 05161-4002",(303) 550-6024,Micro,http://www.backacrebeermakers.com
Backbeat Brewing Company,"31A Park StreetBeverly, MA 01915",(617) 285-7346,Brewpub,http://www.backbeatbrewing.com
Backpocket Brewing Co,"903 Quarry RdCoralville, IA 52241-2208",(319) 449-3700,Micro,http://www.backpocketbrewing.com
Backroom Brewery,"150 Ridgemont RdMiddletown, VA 22645-3817",(540) 869-8482,Brewpub,http://www.backroombreweryva.com
Backshore Brewing Co.,"913 Atlantic AveOcean City, MD 21842-6689",(410) 289-0008,Brewpub,http://www.BackshoreBrew.com
Backside Brewing Co,"1640 NE Odell AveRoseburg, OR 97470-3320",(541) 580-1906,Brewpub,http://www.backsidebrewingco.com
Backslope Brewing,"1107 9th St WColumbia Falls, MT 59912",(406) 897-2850,Brewpub,http://www.backslopebrewing.com
Backstep Brewing Company,"125 N Green StCrawfordsville, IN 47933-1708",(765) 230-2337,Taproom,http://www.backstepbrewingcompany.com
Backswing Brewing Co.,"500 W South St Ste 8Lincoln, NE 68522-1744",(402) 515-4263,Micro,http://www.backswingbrewing.com
Backward Flag Brewing,"699 Challenger Way Ste D5Forked River, NJ 08731-5917",,Taproom,http://www.backwardflagbrewing.com
Backwoods Brewing Company,"1162 Wind River HwyCarson, WA 98610",(509) 427-3412,Micro,http://www.backwoodsbrewingcompany.com
Backwoods Brewing Company - Production Only,"40 SW CASCADE AVE STE 85 Stevenson, WA 98648",(509) 427-3412,Micro,http://www.backwoodsbrewingcompany.com
Backyard Barn Winery and Microbrewery,"1945 E County Road 462Wildwood, FL 34785-8594",(352) 461-0593,Taproom,http://www.backyardbardwinery.com
Backyard Brewery,"1211 S Mammoth RdManchester, NH 03109-5101",(603) 623-3545,Brewpub,http://www.backyardbrewerynh.com
Bacova Beer Company,"2814 Main StHot Springs, VA 24445",(540) 505-4411,Taproom,http://www.bacovabeer.com
Bad Beat Brewing,"7380 Eastgate Rd Ste 110Henderson, NV 89011-4012",702-463-4199,Micro,http://www.badbeatbrewing.com
Bad Dad Brewery,"407 W. Washington St.Fairmount, IN 46928",(765) 948-4193,Brewpub,http://www.baddadbrewery.com
Bad Dream Brewing,"116 Danbury Rd Ste 3New Milford, CT 06776",(860) 717-4546,Taproom,http://www.baddreambrewing.com
Bad Habit Brewing Company,"25 College Ave NSaint Joseph, MN 56374",(320) 402-4442,Taproom,http://www.badhabitbeer.com
Bad Idea Brewing,"307 West 11 StreetColumbia, TN 38401",,Taproom,http://www.badideabrewing.com
Bad Jimmy's Brewing Co,"4358B Leary Way NWSeattle, WA 98107-4554",(206) 789-1548,Taproom,http://www.badjimmysbrewingco.com
Bad Joker Brewing Company,"830 power house rdRock Springs, WY 82901",(307) 371-0348,Taproom,
Bad Lab Beer Co.,"460 High StSomersworth, NH 03878-1012",(603) 842-5822,Brewpub,http://www.badlabbeer.com
Bad Martha East Falmouth Farmer’s Brewery & Tasting Room,"876 East Falmouth HWYEast Falmouth, MA 02539-",(508) 939-4415,Brewpub,
Bad Martha Farmer's Brewery,"270 Upper Main StEdgartown, MA 02539-",(508) 939-4415,Taproom,http://www.badmarthabeer.com
Bad Shepherd Beer Company,"702 Quarrier StCharleston, WV 25301-2627",(304) 552-7569,Brewpub,http://www.blacksheepwv.com
Bad Tom Smith Brewing,"1836 W 25th StCleveland, OH 44113-3142",,Brewpub,
Bad Tom Smith Brewing,"5900 Madison RdCincinnati, OH 45227",(513) 871-4677,Taproom,http://www.badtomsmithbrewing.com
Bad Weather Brewing LLC,"414 7th St WSaint Paul, MN 55102-2733",(651) 207-6627,Taproom,http://www.badweatherbrewery.com
BadWolf Brewing Company,"9776 Center StManassas, VA 20110-4128",(571) 208-1064,Proprietor,http://www.badwolfbrewingcompany.com
Badass Backyard Brewing,"1415 N Argonne RdSpokane Valley, WA 99212-2685",(509) 242-3225,Taproom,http://badassbackyardbrewing.com
Badger Hill Brewing,"4571 Valley Industrial Blvd S Ste 500Shakopee, MN 55379-1846",(612) 388-4479,Micro,http://www.badgerhillbrewing.com
Badger Mountain Brewing,"1 Orondo AveWenatchee, WA 98801-2206",(509) 888-2234,Brewpub,http://www.badgermountainbrewing.com
Badger State Brewing Company,"990 Tony Canadeo RunGreen Bay, WI 54304-3762",(920) 543-5320,Micro,http://www.badgerstatebrewing.com
Baere Brewing Company,"320 Broadway Unit EDenver, CO 80203-3955",(970) 901-4810,Taproom,http://www.baerebrewing.com
Baerlic Brewing Co,"2235 SE 11th AvePortland, OR 97214-5303",(503) 477-9418,Taproom,http://www.baerlicbrewing.com
Baffin Brewing Co,"25113 Jefferson AveSaint Clair Shores, MI 48081-2303",(586) 218-7990,Taproom,http://baffinbrewing.com
"Bag and Kettle, The","9000 Main St Apt 21Carrabassett Valley, ME 04947-6808",(207) 237-2451,Brewpub,http://www.thebagandkettle.com
Bagby Beer Company,"601 S Coast HwyOceanside, CA 92054-4120",(760) 270-9075,Brewpub,http://www.bagbybeer.com
"Baileson Brewing Company, LLC","2322 Bissonnet StHouston, TX 77005-1512",(832) 516-9828,Taproom,http://www.bailesonbrewing.com
Bainbridge Island Brewing,"9415 Coppertop Loop NE Ste 104Seattle, WA 98110-3339",(206) 451-4646,Taproom,http://www.bainbridgebeer.com
Bait House Brewery,"223 Meigs StSandusky, OH 44870",(419) 271-5094,Taproom,http://www.baithousebrewery.com
Baker City Brewing Co,"2200 Main StreetBaker City, OR 97814",(541) 523-2337,Micro,http://www.barleybrowns.com
Balcones Distilling,"225 S. 11th St.Waco, TX 76701",(713) 502-3370,Taproom,http://www.balconesdistilling.com
Bald Birds Brewing Company,"970 Rittenhouse Road Suite 400Audubon, PA 19403",(570) 971-2877,Taproom,http://www.baldbirdsbrewing.com
Bald Man Brewing Company,"2020 Silver Bell Rd Ste 25Eagan, MN 55122-1030",(651) 508-0007,Taproom,http://www.BaldManBrewing.com
Bald Top Brewing Company,"1830 Thrift RdMadison, VA 22727-2843",(540) 999-1830,Taproom,http://www.baldtopbrewing.com
Bale Breaker Brewing Company,"1801 Birchfield RdYakima, WA 98901-9577",(509) 424-4000,Regional,http://www.balebreaker.com
Baleen Brewing Co.,"884 Mizzen LaneKetchikan, AK 99901",(907) 220-7492,Micro,
Ballad Brewing,"600 Craghead StDanville, VA 24541-1504",(804) 925-0109,Taproom,http://www.balladbrewing.com
Ballast Point Brewing Co / Home Brew Mart,"5401 Linda Vista Rd Ste 406San Diego, CA 92110-2402",(619) 851-7681,Regional,http://www.ballastpoint.com
Ballast Point Brewing Company,"210 N Green StChicago, IL 60607",,Brewpub,
Ballast Point Brewing Company,"1580 S Disneyland DrAnaheim, CA 92802-2294",,Brewpub,
Ballast Point Brewing Company,"9045 Carroll WaySan Diego, CA 92121-2405",(858) 695-2739,Regional,http://www.ballastpoint.com
Balsam Falls Brewing,"506 W Main StSylva, NC 28779-5544",(828) 631-1987,Taproom,
Balter Beerworks,"100 S Broadway StKnoxville, TN 37902-1901",(865) 999-5015,Brewpub,http://www.balterbeerworks.com
Bam Entertainment Center,"478 E 16th StHolland, MI 49423-3793",(616) 392-7086,Brewpub,http://www.gobamgo.com
Band Of Bohemia,"4710 N Ravenswood AveChicago, IL 60640-4408",(773) 271-4710,Brewpub,http://bandofbohemia.com
Banded Brewing Company,"32 Main St. Bldg 13-W Ste 102Biddeford, ME 04005-5145",(207) 602-1561,Micro,http://www.bandedbrewing.com
Banded Oak Brewing Company,"470 N BroadwayDenver, CO 80203-3404",(720) 479-8033,Micro,http://Bandedoakbrewing.com
"Bandera Ale Project, LLC","3540 State Highway 16 S Ste 2ABandera, TX 78003-3561",(830) 522-4226,Taproom,http://www.banderabrewery.com
Bandit Brewing Co,"308 E Tanner Rddarby, MT 59829",(520) 665-1855,Taproom,http://www.banditbeer.com
Bandon Brewing Company,"395 2nd St SEBandon, OR 97411-9605",(541) 347-3911,Brewpub,http://www.bandonbrewingco.com
Bang Brewing,"2320 Capp RdSaint Paul, MN 55114-1251",(651) 243-2264,Micro,http://www.bangbrewing.com
Bang the Drum Brewery,"950 Orcutt RdSan Luis Obispo, CA 93401-6740",(858) 776-2973,Taproom,http://www.bangthedrumbrewery.com
Banger Brewing Co,"450 Fremont St Ste 135Las Vegas, NV 89101-5649",(702) 456-2739,Taproom,http://www.bangerbrewing.com
Bangin' Banjo Brewing Company,"3200 NW 23rd Ave Ste 500Pompano Beach, FL 33069-5909",(954) 978-3113,Taproom,http://www.banginbanjobrewing.com
Bangor Beer Co.,"330 Bangor Mall BlvdBangor, ME 04401-3644",(207) 947-6605,Brewpub,http://www.bangorbeerco.com
Bangor Trust Brewing,"15 BroadwayBangor, PA 18013-2601",(610) 452-3232,Brewpub,http://bangortrustbrewing.com
Bank Brewing Co,"218 N Main StHendricks, MN 56136-9501",(612) 309-2513,Micro,http://www.bankbrewing.com
Bankhead Brewing Company,"3840 Main StRowlett, TX 75088-5073",(214) 384-7953,Brewpub,http://www.bankheadbrewing.com
Bar 3 BBQ and Brewing,"100 S BroadwayBelgrade, MT 59714-3909",(406) 388-9182,Brewpub,http://www.bar3bbq.com
Bar D Brewhouse,"213 N High StSan Saba, TX 76877-3533",(325) 372-6100,Brewpub,http://www.bardbrewhouse.com
Bar Hygge / Brewery Techne,"1720 Fairmount AvePhiladelphia, PA 19130-2858",,Brewpub,
Barbarian Brewing,"5270 W Chinden BlvdGarden City, ID 83714-1457",(208) 387-2739,Taproom,http://www.barbarianbrewing.com
Barbershop Brewhouse,"9120-C Highway 290 WAustin, TX 78736",,Taproom,
Bardic Brewing,"14719 E 15thSpokane, WA 99037",(509) 723-6105,Taproom,http://https://bardicbrewing.wordpress.com/
Bardo Brewpub,"25 Potomac Ave SEWashington, DC 20003-3670",(762) 233-7070,Taproom,http://www.bardo.beer
Bardwell Winery and Brewery,"716 N High StMount Orab, OH 45154",(513) 309-0781,Brewpub,http://www.bardwellwinery.com
Bare Arms Brewing,"2515 La Salle AveWaco, TX 76706-3929",(254) 759-8480,Taproom,http://www.barearmsbrewing.com
Bare Bones Brewery,"4362 County Rd SOshkosh, WI 54904-9575",(920) 744-8045,Taproom,http://www.barebonesbrewery.us
Bare Hands Brewery,"12804 Sandy CtGranger, IN 46530-4309",(574) 277-2258,Taproom,http://www.barehandsbrewery.com
BareWolf Brewing,"12 Oakland StAmesbury, MA 01913",(978) 390-6540,Micro,http://www.barewolfbrewing.com
Barebottle Brewing Company,"1525 Cortland AveSan Francisco, CA 94110-5714",(415) 926-8617,Micro,http://www.barebottle.com
Barhop Brewing,"124 W Railroad AvePort Angeles, WA 98362-2621",(360) 460-5155,Brewpub,http://www.barhopbrewing.com
Barhop Brewing - Production Facility,"2506 W 19th StPort Angeles, WA 98363",(360) 460-5155,Micro,
Bark Brewing Company / Fat Dog's Grille & Pub,"3021 Spring Garden StGreensboro, NC 27403-1968",(336) 856-1406,Brewpub,http://barkbrewingcompany.com
Barking Armadillo Brewing,"507 River Bend DrGeorgetown, TX 78628",(512) 240-5137,Taproom,http://www.barkingarmadillo.com
Barking Rose Brewing Company + Farm,"9057 Old Culpeper RoadWarrenton, VA 20186",(703) 372-2979,Brewpub,http://www.barkingrose.com
Barley & Board,"100 W Oak StDenton, TX 76201-4285",(940) 566-3900,Brewpub,http://www.barleyandboard.com
Barley Brothers Brewery,"1425 McCulloch Blvd NLake Havasu City, AZ 86403-6597",(928) 505-7837,Brewpub,http://www.barleybrothers.com
Barley Brown's Beer,"2190 Main StBaker City, OR 97814-2655",(541) 523-4266,Micro,http://www.barleybrowns.com
Barley Creek Brewing Co,"1774 Sullivan TrlTannersville, PA 18372-7893",(570) 629-9399,Brewpub,http://www.barleycreek.com
Barley Head Brewery,"12 Water St 1AMystic, CT 06355",,Taproom,http://www.barleyheadbrewery.com
Barley Island Brewing Company,"639 Conner StreetNoblesville, IN 46060",(317) 371-4033,Brewpub,http://www.barleyisland.com
Barley Johns Brewpub,"781 Old Highway 8 SWNew Brighton, MN 55112-7735",(651) 636-4670,Brewpub,http://www.barleyjohns.com
Barley Johns Brewpub,"1280 Madison AveNew Richmond, WI 54017-2236",(715) 246-4677,Brewpub,http://www.barleyjohnsbrewery.com
Barley Naked Brewing Company,"15 Tech PkwyStafford, VA 22554",(540) 623-4475,Taproom,http://www.barleynaked.com
Barley's Brewing Company (Ale House No. 1),"467 N High StColumbus, OH 43215-2007",(614) 228-2537,Brewpub,http://www.barleysbrewing.com
Barley's Casino and Brewing Co,"4500 E Sunset Rd Ste 30Henderson, NV 89014-2253",(702) 458-2739,Brewpub,http://www.wildfire.sclv.com/barleys
BarmHaus Brewing Co.,"3782 Winding Creek LnGarden Valley, CA 95633-9773",(415) 680-4181,Micro,http://stashbrewingco.com
Barn Brewers,"114 N Main StLawton, MI 49065-8634",(269) 299-0482,Brewpub,http://www.barnbrewersbrewery.com
Barn Brewery,"2850 El Cajon Blvd Ste 3San Diego, CA 92104-1389",(619) 955-8228,Brewpub,http://www.thebarnbrew.com
Barn Town Brewing Co.,"9500 University Ave Ste 1110West Des Moines, IA 50266-1888",(515) 978-6767,Brewpub,
Barnaby Brewing Company,"165 Shattuck wayJuneau, AK 99801-1225",(907) 419-0916,Taproom,http://www.barnabybrew.com
Barnett and Son Brewing Company,"18425 Pony Express Dr Unit 125Parker, CO 80134-9605",(720) 420-0462,Taproom,
